X,Y,Z, Ù–‘ø‚1, Ù–‘ø‚2, Ù–‘ø‚3....
,,,,,
438007.218,4963755.385,580.08,,,
438012.805,4963754.943,579.993,,,
438017.422,4963755.264,580.021,,,
438019.597,4963755.399,579.922,,,
438025.512,4963755.878,579.945,,,
438031.242,4963755.908,580.175,,,
438031.493,4963764.447,580.099,,,
438031.296,4963770.678,579.833,,,
438031.033,4963782.384,579.625,,,
438031.379,4963789.088,579.649,,,
438020.63,4963788.842,579.907,,,
438011.661,4963788.898,580.116,,,
437999.142,4963789.189,580.41,,,
437992.422,4963789.218,580.309,,,
437991.931,4963790.595,580.492,,,
437991.794,4963795.336,580.864,,,
437991.602,4963803.172,581.339,,,
437991.707,4963810.329,581.464,,,
437991.661,4963824.46,581.598,,,
437991.438,4963833.634,581.548,,,
437991.629,4963839.875,581.537,,,
437991.287,4963849.915,581.654,,,
437986.202,4963849.428,581.743,,,
437984.116,4963849.89,581.583,,,
437983.014,4963851.034,581.727,,,
437980.468,4963852.563,581.738,,,
437978.889,4963853.033,581.254,,,
,,,,,
437305.049,4964865.206,,,,
437295.478,4964863.57,,,,
437274.244,4964862.976,,,,
437273.868,4964881.515,,,,
437274.315,4964896.832,,,,
437295.298,4964897.03,,,,
437305.526,4964894.177,,,,
,,,,,
438556.222,4964697.939,,,,
438568.407,4964685.318,,,,
,,,,,
437771.071,4964197.77,584.629,,,
437736.507,4964200.128,584.817,,,
437737.446,4964219.044,585.03,,,
437737.263,4964219.019,585.004,,,
437713.469,4964218.5,589.933,,,
437522.249,4964194.814,595.668,,,
437512.554,4964197.461,594.984,,,
437504.801,4964197.856,596.138,,,
437505.854,4964284.471,595.877,,,
437534.925,4964299.858,,,,
,,,,,
437538.45,4964156.625,594.6,,,
437540.106,4964163.347,594.277,,,
437544.995,4964220.045,593.337,,,
437548.496,4964245.427,593.239,,,
437551.905,4964267.994,593.004,,,
437557.163,4964297.17,592.498,,,
437543.924,4964299.272,593.05,,,
437535.245,4964299.865,593.301,,,
,,,,,
438176.087,4964471.59,580.823,,,
438241.529,4964402.716,581.05,,,
438422.677,4964500.025,,,,
438449.876,4964542.128,,,,
438467.798,4964570.626,,,,
438447.737,4964593.556,,,,
438422.5,4964620.104,,,,
438415.646,4964649.473,,,,
438460.139,4964687.602,,,,
438501.145,4964726.23,,,,
438516.485,4964757.431,,,,
438566.542,4964863.753,,,,
438532.227,4964932.249,,,,
438742.6,4965151.581,,,,
438836.101,4965248.852,,,,
438993.794,4965363.932,,,,
439301.628,4965586.434,,,,
439308.029,4965589.4,,,,
439317.903,4965571.811,,,,
439330.938,4965556.021,,,,
,,,,,
437967.223,4963406.985,578.511,,,
437977.736,4963408.646,578.412,,,
437992.585,4963409.835,578.633,,,
438009.13,4963410.192,578.481,,,
438024.532,4963409.403,578.753,,,
438025.918,4963403.389,578.572,,,
438026.021,4963422.031,578.685,,,
438021.914,4963432.559,579.125,,,
438013.481,4963446.979,579.038,,,
438007.541,4963458.751,579.022,,,
437969.208,4963516.319,578.793,,,
437960.058,4963525.875,580.135,,,
437957.656,4963529.58,580.329,,,
437943.614,4963530.179,580.052,,,
437931.115,4963529.77,580.295,,,
437931.266,4963536.846,580.178,,,
437931.397,4963544.771,580.349,,,
437922.538,4963529.585,580.301,,,
437922.123,4963526.771,580.597,,,
437903.746,4963530.731,580.005,,,
437891.251,4963530.968,580.49,,,
437879.037,4963531.034,580.796,,,
437878.882,4963539.08,580.775,,,
437879.192,4963545.277,581.025,,,
,,,,,
438349.084,4964204.15,584.435,,,
438312.644,4964201.88,585.292,,,
,,,,,
437756.968,4965168.274,589.327,,,
437754.892,4965169.042,589.389,,,
437747.529,4965176.225,589.509,,,
,,,,,
437734.315,4966241.122,599.903,,,
437759.346,4966225.148,600.317,,,
437714.136,4966159.009,601.612,,,
437708.081,4966133.368,603.666,,,
437728.209,4966096.292,603.741,,,
437755.453,4966089.158,603.23,,,
437801.665,4966055.706,601.523,,,
437808.983,4966040.696,601.2,,,
437811.34,4965986.781,600.146,,,
437816.504,4965953.581,599.238,,,
437824.643,4965908.291,599.026,,,
437832.541,4965787.218,596.774,,,
437840.992,4965722.737,595.907,,,
437847.582,4965657.88,595.74,,,
437855.094,4965604.846,594.958,,,
437863.347,4965549.365,594.022,,,
437868.703,4965495.095,593.628,,,
437849.441,4965415.511,591.572,,,
437839.165,4965387.526,590.907,,,
437809.574,4965302.767,589.728,,,
437798.666,4965273.056,588.997,,,
437776.818,4965218.739,589.317,,,
437765.268,4965227.717,589.596,,,
437760.84,4965217.678,589.826,,,
437754.223,4965194.689,589.606,,,
437747.529,4965176.225,589.509,,,
437732.35,4965183.898,590.262,,,
,,,,,
437824.25,4963749.869,,,,
437824.229,4963747.289,584.079,,,
437824.32,4963740.094,585.168,,,
437823.802,4963736.778,584.243,,,
437809.328,4963735.45,584.832,,,
437799.67,4963735.516,584.946,,,
437789.105,4963736.096,585.112,,,
437771.326,4963735.259,585.185,,,
437755.882,4963736.563,586.889,,,
437746.908,4963736.517,587.061,,,
437735.992,4963735.49,588.245,,,
437734.953,4963729.763,587.698,,,
437734.757,4963721.583,,,,
,,,,,
437705.547,4963883.393,592.181,,,
437688.705,4963843.214,590.722,,,
437637.778,4963843.852,591.174,,,
,,,,,
437978.707,4963871.989,581.531,,,
437991.146,4963887.706,581.423,,,
438039.753,4963887.62,580.761,,,
438119.282,4963889.615,579.185,,,
,,,,,
437412.776,4964268.862,599.17,,,
437410.137,4964409.382,598.218,,,
437511.342,4964404.199,595.04,,,
437533.87,4964405.218,593.86,,,
437558.508,4964405.369,592.572,,,
437556.217,4964398.876,,,,
,,,,,
437756.556,4963469.45,581.231,,,
437756.275,4963452.571,581.519,,,
437757.013,4963432.793,581.878,,,
437757.529,4963418.136,581.752,,,
437757.566,4963401.58,583.847,,,
437746.409,4963404.404,581.646,,,
437728.125,4963405,581.747,,,
437714.073,4963406.135,580.817,,,
437705.519,4963406.265,581.68,,,
437705.385,4963403.258,581.61,,,
437714.494,4963411.542,582.076,,,
437714.447,4963420.823,582.147,,,
,,,,,
438101.73,4964617.559,583.357,,,
438110.686,4964617.771,583.276,,,
438120.658,4964617.686,583.039,,,
438129.887,4964618.079,583.148,,,
438139.258,4964618.14,583.079,,,
438145.281,4964618.127,583.1,,,
438151.98,4964618.146,582.979,,,
438158.645,4964618.131,582.989,,,
438163.969,4964618.153,582.961,,,
438169.537,4964618.129,582.746,,,
438175.766,4964618.117,582.738,,,
438183.102,4964618.113,582.733,,,
438190.223,4964618.101,582.702,,,
438197.753,4964618.125,582.642,,,
438204.913,4964618.113,582.654,,,
438205.73,4964612.763,582.708,,,
438207.162,4964607.897,582.767,,,
438207.682,4964604.621,582.728,,,
,,,,,
437997.572,4964773.31,584.498,,,
437991.212,4964780.919,584.521,,,
437979.118,4964794.245,584.284,,,
437990.76,4964813.935,584.438,,,
437996.07,4964825.141,583.304,,,
